fp_bit,functional_groups
fp_0,其他
fp_1,其他
fp_2,其他
fp_3,其他
fp_4,其他
fp_5,其他
fp_6,其他
fp_7,其他
fp_8,其他
fp_9,其他
fp_10,其他
fp_11,其他
fp_12,其他
fp_13,其他
fp_14,含硫基团
fp_15,其他
fp_16,其他
fp_17,胺基
fp_18,其他
fp_19,其他
fp_20,胺基
fp_21,其他
fp_22,其他
fp_23,其他
fp_24,其他
fp_25,其他
fp_26,其他
fp_27,其他
fp_28,其他
fp_29,其他
fp_30,其他
fp_31,其他
fp_32,其他
fp_33,其他
fp_34,其他
fp_35,其他
fp_36,其他
fp_37,其他
fp_38,其他
fp_39,其他
fp_40,其他
fp_41,其他
fp_42,其他
fp_43,其他
fp_44,其他
fp_45,其他
fp_46,其他
fp_47,其他
fp_48,其他
fp_49,其他
fp_50,其他
fp_51,其他
fp_52,其他
fp_53,其他
fp_54,其他
fp_55,其他
fp_56,其他
fp_57,其他
fp_58,其他
fp_59,其他
fp_60,其他
fp_61,其他
fp_62,其他
fp_63,其他
fp_64,其他
fp_65,其他
fp_66,其他
fp_67,其他
fp_68,其他
fp_69,其他
fp_70,其他
fp_71,其他
fp_72,其他
fp_73,其他
fp_74,其他
fp_75,其他
fp_76,其他
fp_77,其他
fp_78,其他
fp_79,其他
fp_80,其他
fp_81,其他
fp_82,其他
fp_83,其他
fp_84,其他
fp_85,胺基
fp_86,其他
fp_87,其他
fp_88,其他
fp_89,其他
fp_90,其他
fp_91,其他
fp_92,其他
fp_93,其他
fp_94,其他
fp_95,其他
fp_96,其他
fp_97,其他
fp_98,其他
fp_99,其他
fp_100,其他
fp_101,其他
fp_102,其他
fp_103,其他
fp_104,其他
fp_105,其他
fp_106,其他
fp_107,其他
fp_108,其他
fp_109,其他
fp_110,其他
fp_111,其他
fp_112,其他
fp_113,其他
fp_114,烯烃
fp_115,其他
fp_116,其他
fp_117,胺基
fp_118,胺基
fp_119,其他
fp_120,其他
fp_121,其他
fp_122,其他
fp_123,其他
fp_124,其他
fp_125,其他
fp_126,其他
fp_127,其他
fp_128,其他
fp_129,其他
fp_130,其他
fp_131,其他
fp_132,其他
fp_133,其他
fp_134,其他
fp_135,末端烯烃或亚甲基
fp_136,其他
fp_137,其他
fp_138,其他
fp_139,其他
fp_140,其他
fp_141,其他
fp_142,其他
fp_143,铅中心
fp_144,其他
fp_145,其他
fp_146,其他
fp_147,其他
fp_148,其他
fp_149,其他
fp_150,其他
fp_151,其他
fp_152,其他
fp_153,其他
fp_154,其他
fp_155,其他
fp_156,其他
fp_157,其他
fp_158,其他
fp_159,其他
fp_160,其他
fp_161,其他
fp_162,其他
fp_163,其他
fp_164,其他
fp_165,其他
fp_166,胺基
fp_167,其他
fp_168,胺基
fp_169,其他
fp_170,其他
fp_171,其他
fp_172,其他
fp_173,其他
fp_174,其他
fp_175,其他
fp_176,其他
fp_177,其他
fp_178,其他
fp_179,其他
fp_180,其他
fp_181,其他
fp_182,其他
fp_183,其他
fp_184,其他
fp_185,其他
fp_186,其他
fp_187,其他
fp_188,其他
fp_189,其他
fp_190,其他
fp_191,其他
fp_192,其他
fp_193,其他
fp_194,其他
fp_195,其他
fp_196,含硫基团
fp_197,其他
fp_198,胺基
fp_199,其他
fp_200,其他
fp_201,其他
fp_202,其他
fp_203,其他
fp_204,其他
fp_205,其他
fp_206,含硫基团
fp_207,其他
fp_208,其他
fp_209,其他
fp_210,其他
fp_211,其他
fp_212,其他
fp_213,其他
fp_214,其他
fp_215,其他
fp_216,其他
fp_217,其他
fp_218,其他
fp_219,其他
fp_220,其他
fp_221,其他
fp_222,其他
fp_223,其他
fp_224,其他
fp_225,其他
fp_226,其他
fp_227,其他
fp_228,其他
fp_229,其他
fp_230,甲基
fp_231,其他
fp_232,其他
fp_233,其他
fp_234,其他
fp_235,其他
fp_236,其他
fp_237,其他
fp_238,其他
fp_239,其他
fp_240,其他
fp_241,含硫基团
fp_242,其他
fp_243,其他
fp_244,其他
fp_245,其他
fp_246,其他
fp_247,其他
fp_248,其他
fp_249,其他
fp_250,其他
fp_251,其他
fp_252,其他
fp_253,其他
fp_254,其他
fp_255,其他
fp_256,其他
fp_257,其他
fp_258,其他
fp_259,其他
fp_260,胺基
fp_261,其他
fp_262,其他
fp_263,其他
fp_264,其他
fp_265,其他
fp_266,其他
fp_267,其他
fp_268,其他
fp_269,其他
fp_270,其他
fp_271,其他
fp_272,其他
fp_273,其他
fp_274,其他
fp_275,胺基
fp_276,其他
fp_277,其他
fp_278,其他
fp_279,胺基
fp_280,羟基/醚
fp_281,其他
fp_282,其他
fp_283,其他
fp_284,其他
fp_285,其他
fp_286,其他
fp_287,其他
fp_288,其他
fp_289,其他
fp_290,其他
fp_291,胺基
fp_292,其他
fp_293,其他
fp_294,甲基
fp_295,其他
fp_296,其他
fp_297,其他
fp_298,其他
fp_299,其他
fp_300,其他
fp_301,其他
fp_302,其他
fp_303,其他
fp_304,其他
fp_305,其他
fp_306,其他
fp_307,其他
fp_308,其他
fp_309,其他
fp_310,其他
fp_311,其他
fp_312,其他
fp_313,其他
fp_314,其他
fp_315,其他
fp_316,其他
fp_317,其他
fp_318,其他
fp_319,胺基
fp_320,其他
fp_321,其他
fp_322,其他
fp_323,其他
fp_324,其他
fp_325,其他
fp_326,其他
fp_327,其他
fp_328,其他
fp_329,其他
fp_330,其他
fp_331,其他
fp_332,其他
fp_333,其他
fp_334,其他
fp_335,其他
fp_336,其他
fp_337,其他
fp_338,其他
fp_339,其他
fp_340,其他
fp_341,其他
fp_342,酰胺
fp_343,其他
fp_344,其他
fp_345,其他
fp_346,其他
fp_347,其他
fp_348,其他
fp_349,其他
fp_350,其他
fp_351,其他
fp_352,其他
fp_353,其他
fp_354,其他
fp_355,其他
fp_356,其他
fp_357,其他
fp_358,其他
fp_359,其他
fp_360,其他
fp_361,其他
fp_362,胺基
fp_363,其他
fp_364,其他
fp_365,其他
fp_366,其他
fp_367,其他
fp_368,其他
fp_369,其他
fp_370,其他
fp_371,其他
fp_372,其他
fp_373,其他
fp_374,其他
fp_375,其他
fp_376,其他
fp_377,其他
fp_378,其他
fp_379,酰胺
fp_380,其他
fp_381,其他
fp_382,其他
fp_383,含硫基团;胺基
fp_384,其他
fp_385,其他
fp_386,其他
fp_387,其他
fp_388,其他
fp_389,末端烯烃或亚甲基;羟基/醚
fp_390,胺基
fp_391,其他
fp_392,其他
fp_393,其他
fp_394,其他
fp_395,其他
fp_396,其他
fp_397,其他
fp_398,其他
fp_399,其他
fp_400,其他
fp_401,胺基
fp_402,其他
fp_403,其他
fp_404,其他
fp_405,其他
fp_406,其他
fp_407,其他
fp_408,胺基
fp_409,其他
fp_410,其他
fp_411,其他
fp_412,其他
fp_413,其他
fp_414,其他
fp_415,其他
fp_416,其他
fp_417,其他
fp_418,其他
fp_419,其他
fp_420,其他
fp_421,其他
fp_422,其他
fp_423,其他
fp_424,其他
fp_425,其他
fp_426,其他
fp_427,其他
fp_428,其他
fp_429,其他
fp_430,其他
fp_431,其他
fp_432,其他
fp_433,其他
fp_434,其他
fp_435,其他
fp_436,其他
fp_437,其他
fp_438,其他
fp_439,其他
fp_440,其他
fp_441,其他
fp_442,其他
fp_443,其他
fp_444,其他
fp_445,其他
fp_446,其他
fp_447,其他
fp_448,其他
fp_449,其他
fp_450,其他
fp_451,其他
fp_452,其他
fp_453,其他
fp_454,其他
fp_455,其他
fp_456,其他
fp_457,其他
fp_458,其他
fp_459,其他
fp_460,其他
fp_461,其他
fp_462,其他
fp_463,其他
fp_464,其他
fp_465,其他
fp_466,其他
fp_467,其他
fp_468,其他
fp_469,其他
fp_470,其他
fp_471,其他
fp_472,其他
fp_473,其他
fp_474,胺基
fp_475,其他
fp_476,其他
fp_477,其他
fp_478,其他
fp_479,其他
fp_480,其他
fp_481,其他
fp_482,其他
fp_483,其他
fp_484,其他
fp_485,其他
fp_486,其他
fp_487,其他
fp_488,其他
fp_489,氮自由基
fp_490,其他
fp_491,其他
fp_492,其他
fp_493,其他
fp_494,其他
fp_495,其他
fp_496,胺基;铅中心
fp_497,其他
fp_498,其他
fp_499,其他
fp_500,其他
fp_501,其他
fp_502,其他
fp_503,其他
fp_504,其他
fp_505,胺基
fp_506,其他
fp_507,含硫基团
fp_508,羧基
fp_509,其他
fp_510,其他
fp_511,其他
fp_512,其他
fp_513,其他
fp_514,其他
fp_515,其他
fp_516,其他
fp_517,其他
fp_518,其他
fp_519,甲基
fp_520,其他
fp_521,其他
fp_522,其他
fp_523,其他
fp_524,其他
fp_525,其他
fp_526,末端烯烃或亚甲基
fp_527,其他
fp_528,甲基
fp_529,其他
fp_530,其他
fp_531,其他
fp_532,其他
fp_533,其他
fp_534,其他
fp_535,其他
fp_536,其他
fp_537,其他
fp_538,其他
fp_539,其他
fp_540,其他
fp_541,其他
fp_542,其他
fp_543,其他
fp_544,其他
fp_545,其他
fp_546,其他
fp_547,其他
fp_548,其他
fp_549,其他
fp_550,其他
fp_551,其他
fp_552,胺基
fp_553,其他
fp_554,其他
fp_555,其他
fp_556,其他
fp_557,其他
fp_558,其他
fp_559,其他
fp_560,其他
fp_561,其他
fp_562,其他
fp_563,其他
fp_564,其他
fp_565,其他
fp_566,其他
fp_567,其他
fp_568,其他
fp_569,其他
fp_570,其他
fp_571,其他
fp_572,其他
fp_573,其他
fp_574,其他
fp_575,其他
fp_576,其他
fp_577,其他
fp_578,其他
fp_579,其他
fp_580,其他
fp_581,其他
fp_582,其他
fp_583,其他
fp_584,其他
fp_585,其他
fp_586,其他
fp_587,其他
fp_588,其他
fp_589,其他
fp_590,其他
fp_591,甲基
fp_592,含硫基团;胺基
fp_593,其他
fp_594,其他
fp_595,其他
fp_596,其他
fp_597,其他
fp_598,其他
fp_599,其他
fp_600,其他
fp_601,其他
fp_602,其他
fp_603,其他
fp_604,其他
fp_605,羧基
fp_606,其他
fp_607,末端烯烃或亚甲基
fp_608,其他
fp_609,其他
fp_610,其他
fp_611,其他
fp_612,其他
fp_613,其他
fp_614,其他
fp_615,其他
fp_616,其他
fp_617,其他
fp_618,其他
fp_619,其他
fp_620,其他
fp_621,其他
fp_622,其他
fp_623,其他
fp_624,其他
fp_625,其他
fp_626,其他
fp_627,其他
fp_628,其他
fp_629,其他
fp_630,其他
fp_631,其他
fp_632,其他
fp_633,其他
fp_634,其他
fp_635,其他
fp_636,其他
fp_637,其他
fp_638,其他
fp_639,其他
fp_640,其他
fp_641,其他
fp_642,其他
fp_643,其他
fp_644,其他
fp_645,其他
fp_646,其他
fp_647,其他
fp_648,其他
fp_649,其他
fp_650,其他
fp_651,其他
fp_652,其他
fp_653,其他
fp_654,其他
fp_655,含硫基团
fp_656,含硫基团
fp_657,其他
fp_658,其他
fp_659,其他
fp_660,其他
fp_661,其他
fp_662,其他
fp_663,其他
fp_664,其他
fp_665,胺基
fp_666,其他
fp_667,胺基
fp_668,其他
fp_669,其他
fp_670,其他
fp_671,其他
fp_672,其他
fp_673,其他
fp_674,其他
fp_675,其他
fp_676,其他
fp_677,其他
fp_678,其他
fp_679,甲基
fp_680,其他
fp_681,其他
fp_682,其他
fp_683,其他
fp_684,其他
fp_685,其他
fp_686,其他
fp_687,其他
fp_688,其他
fp_689,其他
fp_690,其他
fp_691,其他
fp_692,其他
fp_693,其他
fp_694,其他
fp_695,其他
fp_696,其他
fp_697,其他
fp_698,其他
fp_699,氟代烷
fp_700,其他
fp_701,仲铵
fp_702,其他
fp_703,其他
fp_704,碘代烷
fp_705,其他
fp_706,其他
fp_707,其他
fp_708,其他
fp_709,其他
fp_710,其他
fp_711,其他
fp_712,其他
fp_713,其他
fp_714,其他
fp_715,其他
fp_716,其他
fp_717,其他
fp_718,其他
fp_719,其他
fp_720,其他
fp_721,其他
fp_722,其他
fp_723,其他
fp_724,其他
fp_725,其他
fp_726,其他
fp_727,其他
fp_728,其他
fp_729,其他
fp_730,酰胺
fp_731,其他
fp_732,其他
fp_733,其他
fp_734,其他
fp_735,其他
fp_736,其他
fp_737,其他
fp_738,胺基
fp_739,其他
fp_740,其他
fp_741,其他
fp_742,其他
fp_743,其他
fp_744,其他
fp_745,其他
fp_746,其他
fp_747,其他
fp_748,其他
fp_749,其他
fp_750,其他
fp_751,其他
fp_752,其他
fp_753,其他
fp_754,其他
fp_755,其他
fp_756,其他
fp_757,其他
fp_758,其他
fp_759,其他
fp_760,其他
fp_761,其他
fp_762,其他
fp_763,胺基
fp_764,其他
fp_765,其他
fp_766,其他
fp_767,其他
fp_768,其他
fp_769,其他
fp_770,其他
fp_771,其他
fp_772,其他
fp_773,其他
fp_774,胺基
fp_775,其他
fp_776,其他
fp_777,其他
fp_778,其他
fp_779,其他
fp_780,其他
fp_781,其他
fp_782,其他
fp_783,其他
fp_784,其他
fp_785,其他
fp_786,其他
fp_787,其他
fp_788,其他
fp_789,其他
fp_790,氰基
fp_791,其他
fp_792,其他
fp_793,其他
fp_794,甲基
fp_795,其他
fp_796,其他
fp_797,其他
fp_798,酰胺
fp_799,其他
fp_800,其他
fp_801,其他
fp_802,其他
fp_803,氰基
fp_804,其他
fp_805,其他
fp_806,其他
fp_807,其他
fp_808,其他
fp_809,其他
fp_810,其他
fp_811,其他
fp_812,其他
fp_813,其他
fp_814,其他
fp_815,其他
fp_816,其他
fp_817,其他
fp_818,其他
fp_819,其他
fp_820,其他
fp_821,其他
fp_822,其他
fp_823,烯烃
fp_824,其他
fp_825,其他
fp_826,其他
fp_827,其他
fp_828,其他
fp_829,其他
fp_830,其他
fp_831,其他
fp_832,其他
fp_833,其他
fp_834,其他
fp_835,其他
fp_836,其他
fp_837,其他
fp_838,其他
fp_839,其他
fp_840,其他
fp_841,其他
fp_842,其他
fp_843,胺基
fp_844,其他
fp_845,其他
fp_846,其他
fp_847,其他
fp_848,其他
fp_849,其他
fp_850,其他
fp_851,其他
fp_852,其他
fp_853,其他
fp_854,其他
fp_855,其他
fp_856,其他
fp_857,其他
fp_858,其他
fp_859,其他
fp_860,其他
fp_861,其他
fp_862,其他
fp_863,其他
fp_864,其他
fp_865,其他
fp_866,其他
fp_867,其他
fp_868,其他
fp_869,其他
fp_870,其他
fp_871,其他
fp_872,其他
fp_873,其他
fp_874,其他
fp_875,其他
fp_876,其他
fp_877,其他
fp_878,其他
fp_879,其他
fp_880,其他
fp_881,其他
fp_882,其他
fp_883,胺基
fp_884,其他
fp_885,其他
fp_886,其他
fp_887,其他
fp_888,胺基
fp_889,其他
fp_890,其他
fp_891,其他
fp_892,其他
fp_893,其他
fp_894,烯烃
