raw_name,importance
Perovskite_composition_c_ions_Br; I,0.20318481
Perovskite_deposition_procedure_-1,0.031829216
HTL_deposition_procedure_Spin-coating,0.030363195
Perovskite_composition_a_ions_coefficients_0.2; 0.2; 0.6,0.029971527
HTL_deposition_synthesis_atmosphere_pressure_total_-1,0.025434753
Perovskite_deposition_thermal_annealing_temperature_100,0.024579242
Perovskite_composition_a_ions_coefficients_1,0.022652477
Perovskite_deposition_quenching_media_additives_compounds_-1,0.021109022
Perovskite_composition_c_ions_coefficients_0.256; 0.744,0.020198619
Perovskite_composition_b_ions_coefficients_1,0.017837241
Perovskite_composition_a_ions_Cs; MA,0.016581796
Perovskite_deposition_thermal_annealing_time_45,0.014495742
Perovskite_composition_short_form_MAPbI,0.014097139
Perovskite_deposition_reaction_solutions_temperature_-1,0.013971009
Perovskite_deposition_thermal_annealing_time_10,0.012943394
HTL_additives_compounds_Li-TFSI; TBP,0.0127505325
Perovskite_composition_c_ions_coefficients_0.50; 2.50,0.012598789
HTL_stack_sequence_PEDOT:PSS,0.012123214
Perovskite_deposition_thermal_annealing_time_120,0.011078008
Perovskite_composition_a_ions_Cs; FA; MA,0.009876239
ETL_deposition_thermal_annealing_time_30.0 | 10.0; 30.0,0.0096892
Perovskite_deposition_synthesis_atmosphere_Dry air >> Dry air,0.009130015
Perovskite_thickness_520,0.008851731
HTL_deposition_synthesis_atmosphere_pressure_total_1 atm,0.008829392
Perovskite_thickness_2000,0.008606618
Perovskite_composition_c_ions_coefficients_0.095; 0.905,0.008275648
Perovskite_additives_compounds_Cl2,0.008153182
Perovskite_additives_compounds_HI,0.008046966
Perovskite_composition_short_form_CsPbI,0.007910608
Perovskite_deposition_quenching_induced_crystallisation,0.007905724
Perovskite_pl_max,0.0075362273
Perovskite_deposition_thermal_annealing_time_30,0.0073064608
Backcontact_stack_sequence_Au,0.0066381954
Perovskite_composition_a_ions_coefficients_3; 7,0.006621359
Perovskite_composition_a_ions_MA,0.0061849286
Perovskite_composition_c_ions_coefficients_0.45; 2.55,0.005829963
Perovskite_composition_a_ions_BA; MA,0.0057335077
Perovskite_composition_short_form_CsFAMAPbBrI,0.005688189
Perovskite_composition_none_stoichiometry_components_in_excess_MAI,0.005687351
Perovskite_deposition_solvents_DMF; DMSO,0.0053651715
Perovskite_composition_a_ions_coefficients_0.83; 0.17,0.005326408
Perovskite_composition_a_ions_(TEA); MA,0.005251779
Perovskite_additives_compounds_Undoped,0.0052509895
Backcontact_thickness_list_120,0.0052294075
Perovskite_additives_concentrations_6 mg/ml; 5.2 mg/ml,0.0051814984
Perovskite_deposition_synthesis_atmosphere_N2,0.0051301545
Perovskite_composition_none_stoichiometry_components_in_excess_PbI2,0.005019881
Perovskite_deposition_number_of_deposition_steps,0.004982174
"Perovskite_additives_compounds_ClH4N,CH4N2S",0.004913592
Perovskite_additives_compounds_DETAI3,0.0048556975
Backcontact_thickness_list_60,0.0047903834
Perovskite_band_gap_estimation_basis_-1,0.0047335355
HTL_additives_compounds_FK209; Li-TFSI; TBP,0.004723838
Perovskite_deposition_substrate_temperature_150,0.004454157
HTL_stack_sequence_none,0.0044467538
HTL_stack_sequence_MTA,0.0043606726
HTL_deposition_thermal_annealing_atmosphere_-1,0.0042414437
Perovskite_composition_a_ions_coefficients_2; 3,0.004113693
Perovskite_deposition_solvents_mixing_ratios_4; 1; 1.25,0.0040570423
Perovskite_composition_a_ions_coefficients_0.6; 0.4,0.00401766
Perovskite_dimension_list_of_layers_-1,0.003799991
HTL_thickness_list_-1,0.003764153
HTL_stack_sequence_MoO3,0.0035610192
Perovskite_composition_b_ions_Pb,0.0035114083
HTL_deposition_solvents_mixing_ratios_-1,0.0035038167
Perovskite_composition_a_ions_coefficients_0.05; 0.81; 0.14,0.0032315375
Perovskite_band_gap,0.0032254334
Perovskite_additives_compounds_ClH4N,0.0031882997
Perovskite_band_gap_estimation_basis_EQE,0.0031596257
Perovskite_additives_concentrations_0.0008,0.003015326
HTL_stack_sequence_MoO3 | TPTPA,0.003012102
Perovskite_additives_compounds_CH4N2S,0.0029227575
Perovskite_deposition_solvents_DMF,0.0028996882
HTL_stack_sequence_PTAA,0.0026726502
Perovskite_composition_inorganic,0.0026692934
Perovskite_deposition_reaction_solutions_compounds_-1,0.0026414194
Perovskite_composition_a_ions_coefficients_0.4; 0.6,0.0025439286
HTL_stack_sequence_BTPA-3,0.0025412922
HTL_deposition_reaction_solutions_compounds_FK209; Li-TFSI; Spiro-MeOTAD; TBP,0.002436341
Perovskite_composition_long_form_MAPb0.95Sr0.05I3,0.0023608014
Perovskite_composition_long_form_FA0.6MA0.4PbBr0.256I0.744,0.0023314736
Perovskite_deposition_quenching_media_Triochloromethane,0.0023240398
HTL_deposition_aggregation_state_of_reactants_-1,0.002321739
Perovskite_deposition_quenching_media_Chlorobenzene,0.0022959395
Perovskite_composition_leadfree,0.00226069
Perovskite_composition_a_ions_coefficients_0.1; 0.9,0.0022321758
HTL_thickness_list_10,0.0022016163
Perovskite_composition_perovskite_ABC3_structure,0.0021891485
Perovskite_additives_concentrations_0.03,0.0021769886
Perovskite_composition_assumption_Solution composition,0.0021732827
Perovskite_additives_concentrations_0.15,0.0021302663
Perovskite_additives_concentrations_0.01,0.0020997864
Perovskite_composition_a_ions_coefficients_2; 8,0.0020747585
Perovskite_composition_a_ions_coefficients_0.7; 0.3,0.0020406533
Perovskite_deposition_quenching_media_volume,0.001983516
Perovskite_composition_a_ions_(PEA); MA,0.0019225889
Perovskite_composition_none_stoichiometry_components_in_excess_PbI2; PbBr2,0.0019098438
Perovskite_deposition_thermal_annealing_time_600,0.0019018989
Perovskite_composition_long_form_BA2MA4Pb5I16,0.001891679
Perovskite_dimension_2D,0.0018795849
Perovskite_composition_c_ions_coefficients_0.1; 2.9,0.0018542578
Perovskite_deposition_quenching_media_Toluene,0.0018331206
HTL_deposition_reaction_solutions_compounds_Li-TFSI; Spiro-MeOTAD; TBP,0.0017564192
Perovskite_composition_a_ions_(PBA); BA; MA,0.0017546479
Perovskite_composition_a_ions_coefficients_2; 39,0.0017305686
Perovskite_deposition_synthesis_atmosphere_Air,0.0017205442
Perovskite_additives_concentrations_4 mg/ml; 5.2 mg/ml,0.0016952889
Perovskite_additives_concentrations_0.05,0.0016691093
Backcontact_deposition_substrate_temperature,0.001635263
Perovskite_composition_long_form_MAPb0.9Sr0.1I3,0.0015354578
Perovskite_band_gap_estimation_basis_Literature,0.0015140416
Perovskite_composition_a_ions_coefficients_0.17; 0.83,0.001478745
Perovskite_additives_concentrations_0.25,0.0014766944
Perovskite_composition_a_ions_coefficients_0.8; 0.2,0.0014755954
Perovskite_deposition_substrate_temperature_50,0.0014656942
Perovskite_additives_concentrations_0.0002,0.0014266085
Perovskite_additives_concentrations_0.08,0.0014084105
HTL_stack_sequence_Spiro-MeOTAD,0.0013489374
Perovskite_deposition_solvents_DMF >> Methanol,0.0013235598
